approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Feature;100;0;82;66;107;8;0.922463768115942;0.4024488925933838;0.4431447982788086;4.420813322067261
Feature;100;1;90;61;90;9;0.934640522875817;0.3915090560913086;0.4439706802368164;2.808579921722412
Feature;100;2;93;63;95;8;0.9412128712871287;0.39531373977661133;0.458035945892334;4.33173394203186
Feature;100;3;85;58;94;8;0.9313367421475529;0.3950057029724121;0.4076087474822998;3.0640125274658203
Feature;100;4;94;56;81;8;0.9529616724738676;0.41144752502441406;0.47247862815856934;3.7905008792877197
Feature;100;5;93;56;85;10;0.9461343472750317;0.39136624336242676;0.5150437355041504;3.140549898147583
Feature;100;6;93;59;86;8;0.9459798994974874;0.38946008682250977;0.5405972003936768;5.505079507827759
Feature;100;7;80;62;104;9;0.9276773296244785;0.393308162689209;0.4268796443939209;2.586862325668335
Feature;100;8;92;62;91;9;0.9453125;0.3978004455566406;0.549187421798706;6.254735231399536
Feature;100;9;74;64;112;9;0.9097502014504432;0.39488935470581055;0.4359261989593506;2.0774786472320557
Feature;200;0;155;122;198;9;0.9254237288135593;0.3957512378692627;1.0753412246704102;7.118923187255859
Feature;200;1;161;123;196;9;0.9288307915758897;0.3930037021636963;1.2443084716796875;6.531075716018677
Feature;200;2;176;112;174;10;0.9448319594166138;0.39412593841552734;1.3281469345092773;9.429214715957642
Feature;200;3;159;129;212;10;0.9286195286195287;0.39209699630737305;1.118025541305542;6.763602256774902
Feature;200;4;170;126;199;9;0.9284172661870503;0.3934755325317383;1.1319670677185059;6.240149974822998
Feature;200;5;151;126;207;8;0.9256198347107438;0.4005775451660156;1.1034934520721436;7.1492719650268555
Feature;200;6;164;128;207;10;0.9322422258592471;0.396303653717041;0.982659101486206;9.288866996765137
Feature;200;7;165;129;201;10;0.938850015211439;0.4011247158050537;1.1721737384796143;9.939102172851562
Feature;200;8;175;118;189;9;0.9422371638141809;0.39916157722473145;1.1727123260498047;9.12855577468872
Feature;200;9;162;132;210;9;0.9298128342245989;0.39129137992858887;1.0488505363464355;8.32541275024414
Feature;300;0;239;190;307;11;0.9270090347123158;0.3933110237121582;2.313166618347168;11.107980489730835
Feature;300;1;229;183;303;9;0.9251851851851852;0.3954317569732666;2.2843971252441406;9.713773250579834
Feature;300;2;236;193;307;11;0.9282877832282177;0.398573637008667;2.077744960784912;10.278347492218018
Feature;300;3;227;192;315;10;0.9193341869398207;0.4043295383453369;2.069976806640625;9.68506908416748
Feature;300;4;231;191;320;11;0.9226305609284333;0.39575815200805664;2.143193006515503;10.45584750175476
Feature;300;5;223;198;319;9;0.9228536880290206;0.396869421005249;1.6763272285461426;10.575419664382935
Feature;300;6;230;184;303;10;0.9250741839762611;0.3882005214691162;2.1517293453216553;10.101888418197632
Feature;300;7;232;199;324;11;0.9226176259851923;0.3960301876068115;1.952528953552246;11.14762806892395
Feature;300;8;242;183;289;10;0.9345265065700046;0.40085339546203613;2.1091644763946533;10.825247764587402
Feature;300;9;232;182;299;10;0.9291804831833255;0.3932979106903076;2.183257579803467;9.8808012008667
Feature;400;0;297;248;410;11;0.9211841599384852;0.4010329246520996;3.2078731060028076;11.465731859207153
Feature;400;1;303;242;400;10;0.9234889058913542;0.3905527591705322;2.8783421516418457;11.044259071350098
Feature;400;2;300;245;401;10;0.925932766900628;0.3951551914215088;3.221634864807129;11.458740234375
Feature;400;3;301;243;397;11;0.9224154778190345;0.4084594249725342;3.0376062393188477;11.225058555603027
Feature;400;4;301;236;387;10;0.9286767416144489;0.3951261043548584;2.9712114334106445;11.488276720046997
Feature;400;5;298;245;400;11;0.9237659615018106;0.3940558433532715;3.0711231231689453;11.593132972717285
Feature;400;6;300;239;389;11;0.9267143933685004;0.39740610122680664;2.849388360977173;11.185395002365112
Feature;400;7;311;237;389;10;0.9287676249771104;0.39751410484313965;3.289684295654297;11.18050479888916
Feature;400;8;303;245;401;9;0.9271174118502363;0.388293981552124;3.138503313064575;11.441598176956177
Feature;400;9;299;244;403;10;0.9221857501448156;0.40250062942504883;3.054631233215332;10.657979726791382
Feature;500;1;378;276;451;11;0.9327768668952154;0.3912041187286377;4.137284517288208;13.066633701324463
Feature;500;2;386;281;459;11;0.9355518112889638;0.3985788822174072;4.425281524658203;13.697868824005127
Feature;500;3;381;286;462;11;0.9265850945494994;0.39519643783569336;4.177170276641846;11.681463479995728
Feature;500;4;383;288;465;11;0.9337229190421893;0.39536595344543457;4.2215735912323;12.114761590957642
Feature;500;5;375;291;471;11;0.9299107142857143;0.3955378532409668;4.479740858078003;12.061426639556885
Feature;500;6;381;290;468;11;0.9314787701317716;0.39647459983825684;4.680586576461792;13.363629817962646
Feature;500;7;377;286;460;11;0.9307228915662651;0.4011664390563965;3.888315200805664;12.588488340377808
Feature;500;8;384;286;465;11;0.9324226129922977;0.3927192687988281;4.352952241897583;12.599936962127686
Feature;500;9;387;276;453;10;0.9338299737072743;0.3936929702758789;4.382307767868042;14.038017988204956
